episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/policy_0,policy_reward_min/policy_1,policy_reward_min/policy_2,policy_reward_min/policy_3,policy_reward_max/policy_0,policy_reward_max/policy_1,policy_reward_max/policy_2,policy_reward_max/policy_3,policy_reward_mean/policy_0,policy_reward_mean/policy_1,policy_reward_mean/policy_2,policy_reward_mean/policy_3,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff,info/learner/policy_1/cur_kl_coeff,info/learner/policy_1/cur_lr,info/learner/policy_1/total_loss,info/learner/policy_1/policy_loss,info/learner/policy_1/vf_loss,info/learner/policy_1/vf_explained_var,info/learner/policy_1/kl,info/learner/policy_1/entropy,info/learner/policy_1/entropy_coeff,info/learner/policy_2/cur_kl_coeff,info/learner/policy_2/cur_lr,info/learner/policy_2/total_loss,info/learner/policy_2/policy_loss,info/learner/policy_2/vf_loss,info/learner/policy_2/vf_explained_var,info/learner/policy_2/kl,info/learner/policy_2/entropy,info/learner/policy_2/entropy_coeff,info/learner/policy_3/cur_kl_coeff,info/learner/policy_3/cur_lr,info/learner/policy_3/total_loss,info/learner/policy_3/policy_loss,info/learner/policy_3/vf_loss,info/learner/policy_3/vf_explained_var,info/learner/policy_3/kl,info/learner/policy_3/entropy,info/learner/policy_3/entropy_coeff
4.0,0.0,0.18181818181818182,84.77272727272727,22,2000,False,2000,22,1,b073d8b5f14f4b40bd55415467fb0e1c,2020-01-22_00-13-29,1579648409,32.578887701034546,32.578887701034546,9413,alexandre-lenovo,192.168.0.11,32.578887701034546,2000,1,3,7eaf2234,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,6.586095961735892,0.9187085985201247,4.0731286659241155,2000,2000,8721.509,1229.316,12515.852,9150.507,47.044,70.74600000000001,0.20000000298023224,0.0002500000118743628,-0.0693332,-0.056232344,0.0017858022,0.5473887,0.058993626,2.6685395,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.06622827,-0.05566807,0.0024686675,0.40952504,0.05775368,2.4579606,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.081832126,-0.06570447,0.002016312,0.5181692,0.04344824,2.6833622,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.08103367,-0.06591144,0.0023193245,0.41770872,0.045958523,2.6633248,0.009999999776482582
4.0,0.0,0.17391304347826086,84.58695652173913,24,2000,False,4000,46,2,b073d8b5f14f4b40bd55415467fb0e1c,2020-01-22_00-13-47,1579648427,17.913464069366455,50.492351770401,9413,alexandre-lenovo,192.168.0.11,50.492351770401,4000,2,3,7eaf2234,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,6.509126495093663,0.930140872568809,4.05278272462629,4000,4000,8372.372,682.995,11119.306,4586.147,53.9,73.408,0.30000001192092896,0.0002500000118743628,-0.11778025,-0.10453275,0.0028721099,0.3480706,0.03610301,2.6950529,0.009999999776482582,0.30000001192092896,0.0002500000118743628,-0.10878131,-0.097103894,0.002696088,0.3666538,0.03829883,2.586316,0.009999999776482582,0.30000001192092896,0.0002500000118743628,-0.11804342,-0.105962224,0.0029521475,0.3342235,0.039942674,2.7016158,0.009999999776482582,0.30000001192092896,0.0002500000118743628,-0.10241522,-0.08832435,0.003215295,0.24037273,0.03205642,2.692309,0.009999999776482582
4.0,0.0,0.11594202898550725,85.33333333333333,23,2000,False,6000,69,3,b073d8b5f14f4b40bd55415467fb0e1c,2020-01-22_00-14-05,1579648445,17.51082134246826,68.00317311286926,9413,alexandre-lenovo,192.168.0.11,68.00317311286926,6000,3,3,7eaf2234,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.028985507246376812,6.433677090541961,0.93293650811847,4.029188504020333,6000,6000,8138.563,489.931,10647.717,3064.886,53.283999999999985,73.744,0.44999998807907104,0.0002500000118743628,-0.22097951,-0.2127037,0.0003255249,0.46350342,0.041299853,2.7186255,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.22193375,-0.21647348,0.00021192219,0.31091297,0.04499703,2.5920854,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.22728837,-0.21807739,0.0002449137,0.36733872,0.039701205,2.7321448,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.22459659,-0.21646722,0.00017787337,0.053389788,0.04115528,2.682713,0.009999999776482582
4.0,0.0,0.08695652173913043,85.08695652173913,23,2000,False,8000,92,4,b073d8b5f14f4b40bd55415467fb0e1c,2020-01-22_00-14-23,1579648463,17.77279758453369,85.77597069740295,9413,alexandre-lenovo,192.168.0.11,85.77597069740295,8000,4,3,7eaf2234,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,6.387229273702654,0.9343050969231952,4.0127134124123245,8000,8000,8081.613,397.938,10410.488,2303.634,52.60000000000001,73.90384615384616,0.675000011920929,0.0002500000118743628,-0.22526659,-0.21711579,8.668688e-05,0.31236154,0.028032733,2.7159598,0.009999999776482582,0.675000011920929,0.0002500000118743628,-0.2144793,-0.20951764,6.9947244e-05,-0.001783669,0.030944964,2.591947,0.009999999776482582,0.675000011920929,0.0002500000118743628,-0.2298072,-0.22284223,8.5414926e-05,0.21416263,0.030446187,2.7601566,0.009999999776482582,0.675000011920929,0.0002500000118743628,-0.22600827,-0.21806291,6.70194e-05,-0.46969458,0.02823369,2.7070117,0.009999999776482582
4.0,0.0,0.08,85.85,24,2000,False,10000,116,5,b073d8b5f14f4b40bd55415467fb0e1c,2020-01-22_00-14-40,1579648480,17.574480772018433,103.35045146942139,9413,alexandre-lenovo,192.168.0.11,103.35045146942139,10000,5,3,7eaf2234,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.02,0.02,0.02,0.02,6.296394939282285,0.938865873821828,3.988563477408213,10000,10000,8013.015,338.623,10269.233,1847.154,53.396,74.10799999999999,1.0125000476837158,0.0002500000118743628,-0.07857943,-0.06392892,0.0023009249,0.45677325,0.010389568,2.7470884,0.009999999776482582,1.0125000476837158,0.0002500000118743628,-0.0770821,-0.061431196,0.0020681203,0.51517403,0.008245303,2.6067395,0.009999999776482582,1.0125000476837158,0.0002500000118743628,-0.08010963,-0.06425451,0.0020482251,0.5132153,0.00980825,2.783421,0.009999999776482582,1.0125000476837158,0.0002500000118743628,-0.077048875,-0.06156178,0.0028443513,0.34105933,0.008954613,2.7397995,0.009999999776482582
4.0,0.0,0.04,85.24,24,2000,False,12000,140,6,b073d8b5f14f4b40bd55415467fb0e1c,2020-01-22_00-14-58,1579648498,17.516634225845337,120.86708569526672,9413,alexandre-lenovo,192.168.0.11,120.86708569526672,12000,6,3,7eaf2234,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,6.221917260900281,0.9398001673307154,3.9634499862363,12000,12000,7960.032,298.811,10173.185,1542.568,53.431999999999995,74.312,1.0125000476837158,0.0002500000118743628,-0.21532154,-0.21096362,0.00018648786,-0.15667993,0.022677062,2.7504942,0.009999999776482582,1.0125000476837158,0.0002500000118743628,-0.2174212,-0.21536727,0.00019026473,-0.3903341,0.023570992,2.6109838,0.009999999776482582,1.0125000476837158,0.0002500000118743628,-0.21920276,-0.21343917,0.00017753546,-1.0,0.021524169,2.7734346,0.009999999776482582,1.0125000476837158,0.0002500000118743628,-0.22701076,-0.22211033,0.00013559673,-0.5680177,0.022138618,2.7451386,0.009999999776482582
4.0,0.0,0.04,83.53,25,2000,False,14000,165,7,b073d8b5f14f4b40bd55415467fb0e1c,2020-01-22_00-15-16,1579648516,17.796043157577515,138.66312885284424,9413,alexandre-lenovo,192.168.0.11,138.66312885284424,14000,7,3,7eaf2234,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,6.207038512411603,0.944005036609635,3.9514492935933156,14000,14000,7957.129,273.387,10106.667,1324.819,53.888000000000005,74.512,1.5187499523162842,0.0002500000118743628,-0.22439419,-0.2214277,7.89221e-05,-0.37523067,0.016212702,2.7668462,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.21629347,-0.21598367,9.293387e-05,-1.0,0.01716876,2.6477792,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.2202872,-0.21619429,8.97966e-05,-0.9306686,0.015671926,2.7984452,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.22053675,-0.2171862,7.173969e-05,-0.70411813,0.015939442,2.763032,0.009999999776482582
4.0,0.0,0.04,80.08,28,2000,False,16000,193,8,b073d8b5f14f4b40bd55415467fb0e1c,2020-01-22_00-15-33,1579648533,17.538936614990234,156.20206546783447,9413,alexandre-lenovo,192.168.0.11,156.20206546783447,16000,8,3,7eaf2234,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,6.1990126427802394,0.9511036492932281,3.944765627802079,16000,16000,7923.615,252.889,10056.016,1161.99,54.02400000000001,74.704,1.5187499523162842,0.0002500000118743628,-0.22543044,-0.22347662,5.0046532e-05,-0.6653191,0.016879423,2.7639494,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.2137478,-0.21256214,6.1741695e-05,-0.93492424,0.01652074,2.6338286,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.21550973,-0.21063781,5.5971395e-05,-0.8658534,0.015155958,2.7945974,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.21405025,-0.21148603,4.457251e-05,-1.0,0.016347166,2.7436042,0.009999999776482582
0.0,0.0,0.0,80.03,23,2000,False,18000,216,9,b073d8b5f14f4b40bd55415467fb0e1c,2020-01-22_00-15-51,1579648551,17.83360457420349,174.03567004203796,9413,alexandre-lenovo,192.168.0.11,174.03567004203796,18000,9,3,7eaf2234,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.197455451793234,0.9557540696425849,3.9427297549840703,18000,18000,7923.089,244.85,10017.276,1034.832,52.44615384615384,75.02692307692307,1.5187499523162842,0.0002500000118743628,-0.2145572,-0.21126741,3.1918124e-05,-0.9588769,0.016177675,2.7891564,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.21114625,-0.20894212,3.791604e-05,-1.0,0.016154276,2.6776333,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.22544123,-0.2211236,3.8611935e-05,-0.9717542,0.01563995,2.8109393,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.22160538,-0.21872875,2.4137178e-05,-1.0,0.016352395,2.7735953,0.009999999776482582
4.0,0.0,0.08,80.58,24,2000,False,20000,240,10,b073d8b5f14f4b40bd55415467fb0e1c,2020-01-22_00-16-09,1579648569,17.923195123672485,191.95886516571045,9413,alexandre-lenovo,192.168.0.11,191.95886516571045,20000,10,3,7eaf2234,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.02,0.02,0.02,0.02,6.195368553656449,0.9598164599407375,3.9442750719180286,20000,20000,7939.925,230.357,9985.904,933.3,54.628,74.976,1.5187499523162842,0.0002500000118743628,-0.08621685,-0.07521976,0.005639538,0.34312624,0.0072787786,2.7691278,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.08698497,-0.077261716,0.0056335726,0.33503014,0.0073244576,2.648085,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.08927886,-0.07835357,0.0057532787,0.31927836,0.0074436273,2.7983584,0.009999999776482582,1.5187499523162842,0.0002500000118743628,-0.087529615,-0.07648602,0.0059527815,0.2994271,0.0069988067,2.7625813,0.009999999776482582
